year,month,period,carrier_name,carrier,service_type,source_file,departures,hours_flown,passengers,rpk_thousand,ask_thousand,pax_load_factor,freight_tonne,mail_tonne,cargo_total_tonne,tkm_passenger_thousand,tkm_freight_thousand,tkm_mail_thousand,atk_thousand,weight_load_factor,load_factor_derived,load_factor_gap,ask_yoy_pct,ask_mom_pct,pax_yoy_pct
2026,1,2026-01-01,AIR INDIA EXPRESS,IX,nonscheduled_domestic,air_india_express26.xlsx,26,8.242,3567,1130.739,1557.738,72.59,0.0,0.0,0.0,84.805425,0.0,0.0,164.84,51.45,72.59,0.0,,,
2026,1,2026-01-01,AIR INDIA EXPRESS,IX,nonscheduled_international,air_india_express26.xlsx,6,20.802,406,1407.602,3827.568,36.78,0.0,0.0,0.0,105.57015,0.0,0.0,416.04,25.37,36.78,0.0,,,
2026,1,2026-01-01,AIR INDIA EXPRESS,IX,scheduled_domestic,air_india_express26.xlsx,11270,10986.944,1736876,1728181.198,2002604.183,86.3,9184.003,0.0,9184.003,172818.1198,10516.844824,0.0,219738.88,83.43,86.3,0.0,,,
2026,1,2026-01-01,AIR INDIA EXPRESS,IX,scheduled_international,air_india_express26.xlsx,3603,9740.49422237444,588317,1590794.94140669,1791836.58709854,88.78,2226.383,0.0,2226.383,122965.561090771,6181.16869166248,0.0,194809.884447489,66.29,88.78,0.0,,,
2026,1,2026-01-01,QUIKJET CARGO,QO,nonscheduled_domestic,quikjetcargo26.xlsx,61,72.864,0,0.0,0.0,,570.71,0.0,570.71,0.0,691.063357,0.0,1603.008,43.11,,,,,
2026,1,2026-01-01,QUIKJET CARGO,QO,nonscheduled_international,quikjetcargo26.xlsx,24,56.069,0,0.0,0.0,,192.013,0.0,192.013,0.0,576.807052,0.0,1233.518,46.76,,,,,
2026,1,2026-01-01,QUIKJET CARGO,QO,scheduled_domestic,quikjetcargo26.xlsx,37,43.841,0,0.0,0.0,,442.904,0.0,442.904,0.0,522.301902,0.0,964.502,54.15,,,,,
2026,1,2026-01-01,AKASA AIR,QP,nonscheduled_domestic,akasa_air_26.xlsx,10,10.423,1474,1470.083,1976.221,74.39,2.0,0.0,2.0,136.73532,2.04,0.0,213.73402,64.93,74.39,0.0,,,
2026,1,2026-01-01,AKASA AIR,QP,scheduled_domestic,akasa_air_26.xlsx,4144,4769.433,727727,844006.522,905466.169,93.21,4134.43979,227.25462,4361.69441,70536.78367,5243.34537,290.65072,97801.99309,77.78,93.21,0.0,,,
2026,1,2026-01-01,AKASA AIR,QP,scheduled_international,akasa_air_26.xlsx,642,1921.602,100136,303379.658,363678.912,83.42,166.408,0.0,166.408,28393.84471,488.32865,0.0,39404.37057,73.3,83.42,0.0,,,
2026,1,2026-01-01,SPICEJET,SG,nonscheduled_domestic,spicejet26.xlsx,21,14.747,1731,1441.557,2590.173,55.65,0.0,0.0,0.0,108.116775,0.0,0.0,224.065,48.25,55.65,0.0,,,
2026,1,2026-01-01,SPICEJET,SG,scheduled_domestic,spicejet26.xlsx,4028,3971.184,591582,604598.193,703894.815,85.89,3104.82358,0.0,3104.82358,45344.864475,3550.37658957,0.0,62651.746,78.04,85.89,0.0,,,
2026,1,2026-01-01,SPICEJET,SG,scheduled_international,spicejet26.xlsx,784,1851.789,132572,312234.191,349369.179,89.37,563.75092,0.0,563.75092,23417.564325,1333.69220006,0.0,32308.384,76.61,89.37,0.0,,,
2026,2,2026-02-01,INDIGO,6E,nonscheduled_domestic,indigo26.xlsx,171,131.891,13868,9472.0,11062.0,85.63,552.010096,0.31893,552.329026,845.91747,798.955442,0.484121,2521.493621,65.25,85.63,0.0,,-37.88882650196519,
2026,2,2026-02-01,INDIGO,6E,nonscheduled_international,indigo26.xlsx,144,277.015443,0,0.0,0.0,,2119.972511,0.0,2119.972511,0.0,4546.745279,0.0,6467.749167,70.3,,,,,
2026,2,2026-02-01,INDIGO,6E,scheduled_domestic,indigo26.xlsx,53451,47707.354,8870677,8463891.0,9444818.0,89.61,26549.384,2895.919,29445.303,761587.23753,30772.169985,2634.141903,1053109.459835,75.49,89.61,0.0,,-10.0626545426186,
2026,2,2026-02-01,INDIGO,6E,scheduled_international,indigo26.xlsx,8108,22164.311,1360775,3877054.0,4761934.0,81.42,6161.884,4.369,6166.253,348901.35525,24656.45937,9.643465,410857.782985,90.92,81.42,0.0,,-12.847487028059945,
2026,2,2026-02-01,ALLIANCE AIR,9I,nonscheduled_domestic,alliance_air26.xlsx,10,6.57,15,9.855,459.9,2.14,0.0,0.0,0.0,0.8968,0.0,0.0,43.6905,2.05,2.14,0.0,,,
2026,2,2026-02-01,ALLIANCE AIR,9I,scheduled_domestic,alliance_air26.xlsx,1309,523.143,53796,22518.46,34209.064,65.83,0.0,0.0,0.0,2049.1799,0.0,0.0,3270.3367,62.66,65.83,0.0,,-8.634822409251619,
2026,2,2026-02-01,AIR INDIA,AI,nonscheduled_domestic,Air_India26.xlsx,184,95.172,27293,14705.511,16440.88,89.44,0.0,0.0,0.0,1410.64033,0.0,0.0,1545.99906,91.24,89.44,0.0,,36.96286605615378,
2026,2,2026-02-01,AIR INDIA,AI,nonscheduled_international,Air_India26.xlsx,2,7.51,206,819.84,1788.34,45.84,0.0,0.0,0.0,77.31181,0.0,0.0,152.85481,50.58,45.84,0.0,,,
2026,2,2026-02-01,AIR INDIA,AI,scheduled_domestic,Air_India26.xlsx,14477,15581.846,2188779,2321263.226,2626892.405,88.37,33485.1909951,966.3764891,34451.5674842,206942.170279999,43718.6467699999,1000.6319860968,274499.88554,91.68,88.37,0.0,,-6.3307373773074165,
2026,2,2026-02-01,AIR INDIA,AI,scheduled_international,Air_India26.xlsx,4483,20751.951,813328,4265463.66,5287627.865,80.67,48056.2824077,250.0784,48306.3608077,447183.709739999,302619.48251,1721.5880518,829544.654009999,90.59,80.67,0.0,,-10.411379059156012,
2026,2,2026-02-01,BLUEDART,BZ,nonscheduled_domestic,bluedart26.xlsx,22,23.0,0,0.0,0.0,,353.758,0.0,353.758,0.0,381.0,0.0,665.0,57.29,,,,,
2026,2,2026-02-01,BLUEDART,BZ,scheduled_domestic,bluedart26.xlsx,572,564.0,0,0.0,0.0,,10291.478,0.0,10291.478,0.0,10365.0,0.0,16669.0,62.18,,,,,
2026,2,2026-02-01,INDIA ONE AIR,I1,scheduled_domestic,india_one_air26.xlsx,354,106.337,1591,507.656,957.033,53.04,0.0,0.0,0.0,45.68904,0.0,0.0,86.13297,53.04,53.04,0.0,,27.403103097106584,
2026,2,2026-02-01,FLY91,IC,nonscheduled_domestic,fly91_26.xlsx,1,0.52,68,35.09,36.12,97.15,0.0,0.0,0.0,2.96,0.0,0.0,3.07,96.42,97.15,0.0,,-87.03517587939699,
2026,2,2026-02-01,FLY91,IC,scheduled_domestic,fly91_26.xlsx,467,215.42,24785,11479.48,14375.66,79.85,0.0,0.0,0.0,946.53,0.0,0.0,1221.93,77.46,79.85,0.0,,-20.995450096422353,
2026,2,2026-02-01,AIR INDIA EXPRESS,IX,nonscheduled_domestic,air_india_express26.xlsx,28,4.76,3949,1327.398,1793.232,74.02,0.0,0.0,0.0,99.55485,0.0,0.0,189.76,52.46,74.02,0.0,,15.117689881096808,
2026,2,2026-02-01,AIR INDIA EXPRESS,IX,scheduled_domestic,air_india_express26.xlsx,10196,10042.878,1605622,1616320.335,1831390.373,88.26,6903.5201,321.642559,7225.162659,161632.0335,7953.3610936,309.311422351,251071.95,67.67,88.26,0.0,,-8.549558192948215,
2026,2,2026-02-01,AIR INDIA EXPRESS,IX,scheduled_international,air_india_express26.xlsx,3190,8631.60834623546,499213,1345341.12307285,1584026.18951142,84.93,2073.9775,10.388,2084.3655,100900.584230464,5756.1993173825,23.2663429193415,172632.16692471,61.8,84.93,0.0,,-11.597619955044024,
2026,2,2026-02-01,QUIKJET CARGO,QO,nonscheduled_domestic,quikjetcargo26.xlsx,65,80.9148,0,0.0,0.0,,653.476,0.0,653.476,0.0,811.6427438,0.0,1780.1256,45.59,,,,,
2026,2,2026-02-01,QUIKJET CARGO,QO,nonscheduled_international,quikjetcargo26.xlsx,53,131.2428,0,0.0,0.0,,666.533,0.0,666.533,0.0,1794.6893178,0.0,2887.3416,62.16,,,,,
2026,2,2026-02-01,QUIKJET CARGO,QO,scheduled_domestic,quikjetcargo26.xlsx,24,27.24,0,0.0,0.0,,308.279,0.0,308.279,0.0,349.896665,0.0,599.28,58.39,,,,,
2026,2,2026-02-01,AKASA AIR,QP,nonscheduled_domestic,akasa_air_26.xlsx,11,11.789,1636,1711.061,2226.73,76.84,2.906,0.0,2.906,154.90527,2.56826,0.0,241.74523,65.14,76.84,0.0,,12.676163242876171,
2026,2,2026-02-01,AKASA AIR,QP,nonscheduled_international,akasa_air_26.xlsx,1,2.094,182,381.108,389.484,97.85,0.0,0.0,0.0,34.32485,0.0,0.0,42.93956,79.94,97.85,0.0,,,
2026,2,2026-02-01,AKASA AIR,QP,scheduled_domestic,akasa_air_26.xlsx,3903,4538.958,687287,804063.527,861652.531,93.32,4206.80566,223.95293,4430.75859,67241.21948,5341.2643,292.42479,93075.87284,78.3,93.32,0.0,,-4.8387934856128245,
2026,2,2026-02-01,AKASA AIR,QP,scheduled_international,akasa_air_26.xlsx,548,1605.937,78604,231282.976,303966.039,76.09,151.331,0.0,151.331,21761.88495,428.70871,0.0,32931.3441,67.38,76.09,0.0,,-16.419118906734965,
2026,2,2026-02-01,SPICEJET,SG,nonscheduled_domestic,spicejet26.xlsx,51,59.57,3089,3123.325,11281.155,27.69,17.09884,0.0,17.09884,234.249375,25.27728196,0.0,1021.867,25.4,27.69,0.0,,335.53673827964394,
2026,2,2026-02-01,SPICEJET,SG,nonscheduled_international,spicejet26.xlsx,11,22.493,1421,3029.919,4244.886,71.38,0.0,0.0,0.0,227.243925,0.0,0.0,406.344,55.92,71.38,0.0,,,
2026,2,2026-02-01,SPICEJET,SG,scheduled_domestic,spicejet26.xlsx,3691,3725.872,554895,592014.487,665468.603,88.96,3461.14752,0.0,3461.14752,44401.086525,4062.20616874,0.0,59755.104,81.1,88.96,0.0,,-5.459084394590963,
2026,2,2026-02-01,SPICEJET,SG,scheduled_international,spicejet26.xlsx,617,1367.721,100975,222742.643,257674.596,86.44,517.87953,0.0,517.87953,16705.698225,1172.77684558,0.0,24197.648,73.89,86.44,0.0,,-26.245756211941075,
2026,3,2026-03-01,INDIGO,6E,nonscheduled_domestic,indigo26.xlsx,155,122.924151,10042,6999.0,8997.0,77.79,615.9875,0.605,616.5925,623.07747,850.428019,0.26983,2355.2947,62.57,77.79,0.0,,-18.667510395950103,
2026,3,2026-03-01,INDIGO,6E,nonscheduled_international,indigo26.xlsx,104,189.905782,0,0.0,0.0,,1235.56511,0.0,1235.56511,0.0,2349.66066,0.0,4570.787011,51.41,,,,,
2026,3,2026-03-01,INDIGO,6E,scheduled_domestic,indigo26.xlsx,59494,52994.94,9118668,8750157.0,10483236.0,83.47,29546.485,2654.644,32201.129,787352.5782,34122.051748,2346.844,1169440.951505,70.45,83.47,0.0,,10.994579249700731,
2026,3,2026-03-01,INDIGO,6E,scheduled_international,indigo26.xlsx,5238,14039.273,809804,2305455.0,2859455.0,80.63,3488.094,2.912,3491.006,207490.71834,11870.478936,5.06667,271540.500524,80.79,80.63,0.0,,-39.951813695863905,
2026,3,2026-03-01,ALLIANCE AIR,9I,scheduled_domestic,alliance_air26.xlsx,1214,497.74,45672,19769.918,32604.696,60.64,0.0,0.0,0.0,1799.0625,0.0,0.0,3122.1898,57.62,60.64,0.0,,-4.689891544533342,
2026,3,2026-03-01,AIR INDIA,AI,nonscheduled_domestic,Air_India26.xlsx,231,122.632,33926,18529.223,21158.656,87.57,0.3325,0.0,0.3325,1765.90291,0.20854,0.0,1971.20721,89.6,87.57,0.0,,28.695398299847685,
2026,3,2026-03-01,AIR INDIA,AI,nonscheduled_international,Air_India26.xlsx,1,5.86,114,668.04,1517.74,44.02,0.0,0.0,0.0,65.25696,0.0,0.0,131.53356,49.61,44.02,0.0,,-15.13135086169296,
2026,3,2026-03-01,AIR INDIA,AI,scheduled_domestic,Air_India26.xlsx,15759,16826.421,2168434,2302689.77,2822560.032,81.58,36734.9390716,884.57255,37619.5116216,205952.560641,48575.74092,887.484232833999,295078.646885999,86.56,81.58,0.0,,7.448634996529302,
2026,3,2026-03-01,AIR INDIA,AI,scheduled_international,Air_India26.xlsx,4154,21013.506,778767,4634339.586,5421117.714,85.49,60176.4574044,245.6244,60422.0818044,489340.416858,432401.104940001,2113.6386161,983145.614069998,93.97,85.49,0.0,,2.5245696635271653,
2026,3,2026-03-01,BLUEDART,BZ,nonscheduled_domestic,bluedart26.xlsx,58,64.0,0,0.0,0.0,,673.31,0.0,673.31,0.0,770.0,0.0,1612.0,47.77,,,,,
2026,3,2026-03-01,BLUEDART,BZ,scheduled_domestic,bluedart26.xlsx,610,602.0,0,0.0,0.0,,11210.423,0.0,11210.423,0.0,11345.0,0.0,18019.0,62.96,,,,,
2026,3,2026-03-01,INDIA ONE AIR,I1,scheduled_domestic,india_one_air26.xlsx,403,121.314,1750,557.99,1091.826,51.11,0.0,0.0,0.0,50.2191,0.0,0.0,98.26434,51.11,51.11,0.0,,14.084467306769977,
2026,3,2026-03-01,FLY91,IC,scheduled_domestic,fly91_26.xlsx,679,309.52,33059,15013.8,20598.66,72.89,0.0,0.0,0.0,1235.26,0.0,0.0,1750.89,70.55,72.89,0.0,,43.2884472782467,
2026,3,2026-03-01,AIR INDIA EXPRESS,IX,nonscheduled_domestic,air_india_express26.xlsx,35,5.573,4127,1371.651,3617.344,37.92,0.0,0.0,0.0,102.873825,0.0,0.0,311.84,32.99,37.92,0.0,,101.72203038982128,
2026,3,2026-03-01,AIR INDIA EXPRESS,IX,scheduled_domestic,air_india_express26.xlsx,10947,10572.9548750822,1604684,1604017.51987815,1924721.26801907,83.34,7110.139,322.478957,7432.617957,160401.751987815,8332.7911115137,300.038625193,264323.871877055,63.95,83.34,0.0,,5.096177002731794,
2026,3,2026-03-01,AIR INDIA EXPRESS,IX,scheduled_international,air_india_express26.xlsx,1263,3247.67729807693,168446,436154.825094274,590700.709958269,73.84,808.283,0.0,808.283,33235.5792816863,2121.72277895973,0.0,81191.9324519232,43.55,73.84,0.0,,-62.7089050755868,
2026,3,2026-03-01,QUIKJET CARGO,QO,nonscheduled_domestic,quikjetcargo26.xlsx,86,95.488,0,0.0,0.0,,798.695,0.0,798.695,0.0,950.398287,0.0,2100.736,45.24,,,,,
2026,3,2026-03-01,QUIKJET CARGO,QO,nonscheduled_international,quikjetcargo26.xlsx,19,37.952,0,0.0,0.0,,140.556,0.0,140.556,0.0,403.953057,0.0,834.944,48.38,,,,,
2026,3,2026-03-01,QUIKJET CARGO,QO,scheduled_domestic,quikjetcargo26.xlsx,21,23.835,0,0.0,0.0,,243.267,0.0,243.267,0.0,276.108045,0.0,524.37,52.66,,,,,
2026,3,2026-03-01,AKASA AIR,QP,nonscheduled_domestic,akasa_air_26.xlsx,4,4.368,529,547.435,837.799,65.34,0.0,0.0,0.0,44.02164,0.0,0.0,89.5702,49.15,65.34,0.0,,-62.375366568914956,
2026,3,2026-03-01,AKASA AIR,QP,scheduled_domestic,akasa_air_26.xlsx,4560,5340.787,778132,919960.102,1016099.059,90.54,4340.35021,247.16997,4587.52018,76264.43195,5483.16,325.36186,109518.17822,74.94,90.54,0.0,,17.92445590808578,
2026,3,2026-03-01,AKASA AIR,QP,scheduled_international,akasa_air_26.xlsx,329,1081.096,49541,165014.482,202915.458,81.32,67.23,0.0,67.23,15271.20623,254.16381,0.0,22168.95458,70.03,81.32,0.0,,-33.24403651553981,
2026,3,2026-03-01,SPICEJET,SG,nonscheduled_domestic,spicejet26.xlsx,12,14.617,1224,1508.054,2800.513,53.85,1.53384,0.0,1.53384,113.10405,2.01393192,0.0,266.409,43.21,53.85,0.0,,-75.17529898312716,
2026,3,2026-03-01,SPICEJET,SG,nonscheduled_international,spicejet26.xlsx,14,29.744,1537,3315.688,5591.1,59.3,0.0,0.0,0.0,248.6766,0.0,0.0,540.268,46.03,59.3,0.0,,31.71378453979683,
2026,3,2026-03-01,SPICEJET,SG,scheduled_domestic,spicejet26.xlsx,3828,3812.448,540882,568109.606,685778.001,82.84,3359.56551999999,0.0,3359.56551999999,42608.22045,3848.55069361,0.0,62057.3165,74.86,82.84,0.0,,3.051894245414921,
2026,3,2026-03-01,SPICEJET,SG,scheduled_international,spicejet26.xlsx,300,601.497,38418,77046.501,112929.067,68.23,248.70115,0.0,248.70115,5778.487575,501.83809288,0.0,10050.237,62.49,68.23,0.0,,-56.173767708167865,
2026,4,2026-04-01,INDIGO,6E,nonscheduled_domestic,indigo26.xlsx,126,84.478,9169,6530.0,8240.0,79.25,132.9979,0.139,133.1369,582.3945,172.611431,0.083678,1421.643093,53.11,79.25,0.0,,-8.413915749694345,
2026,4,2026-04-01,INDIGO,6E,nonscheduled_international,indigo26.xlsx,92,133.15,0,0.0,0.0,,1197.55698,0.0,1197.55698,0.0,1864.834668,0.0,3245.032057,57.47,,,,,
2026,4,2026-04-01,INDIGO,6E,scheduled_domestic,indigo26.xlsx,59264,52488.547,8978789,8635297.0,10439820.0,82.71,28480.355,2764.371,31244.726,777013.69716,32747.970625,2465.811561,1188216.246747,68.36,82.71,0.0,,-0.41414692944048426,
2026,4,2026-04-01,INDIGO,6E,scheduled_international,indigo26.xlsx,5607,15690.673,870882,2537623.0,3285124.0,77.25,4792.501,5.489,4797.99,228385.5876,20465.110512,11.169465,287255.200238,86.63,77.25,0.0,,14.886368206528866,
2026,4,2026-04-01,ALLIANCE AIR,9I,scheduled_domestic,alliance_air26.xlsx,1156,454.528,42677,18243.581,29836.52,61.15,0.0,0.0,0.0,1660.1659,0.0,0.0,2871.3106,57.82,61.15,0.0,,-8.490114430142203,
2026,4,2026-04-01,AIR INDIA,AI,nonscheduled_domestic,Air_India26.xlsx,237,126.54,34108,19050.709,21774.448,87.49,0.0,0.0,0.0,1812.78873,0.0,0.0,2025.24037,89.51,87.49,0.0,,2.910354986630548,
2026,4,2026-04-01,AIR INDIA,AI,scheduled_domestic,Air_India26.xlsx,15082,16082.114,1949625,2067622.633,2692521.491,76.79,17766.2397315,988.756668,18754.9963995,184229.157770001,22332.7046600001,1056.346287142,255303.971410999,81.32,76.79,0.0,,-4.607113383797823,
2026,4,2026-04-01,AIR INDIA,AI,scheduled_international,Air_India26.xlsx,3934,20040.979,663709,3832220.514,5195097.497,73.77,17773.0092426,317.0496,18090.0588426,400993.35477,127204.18097,2770.685587,634501.939110001,83.68,73.77,0.0,,-4.169254919816689,
2026,4,2026-04-01,BLUEDART,BZ,nonscheduled_domestic,bluedart26.xlsx,91,106.1391,0,0.0,0.0,,1126.458,0.0,1126.458,0.0,1403.211,0.0,2440.642,57.49,,,,,
