period,state,inflation_pct
2026-07-01,Jharkhand,3.5
2026-07-01,Karnataka,4.89
2026-07-01,Kerala,4.01
2026-07-01,Ladakh,5.17
2026-07-01,Lakshadweep,3.22
2026-07-01,Madhya Pradesh,4.91
2026-07-01,Maharashtra,4.09
2026-07-01,Manipur,3.09
2026-07-01,Meghalaya,2.31
2026-07-01,Mizoram,1.84
2026-07-01,Nagaland,2.82
2026-07-01,Nct Of Delhi,2.68
2026-07-01,Odisha,4.83
2026-07-01,Puducherry,5.41
2026-07-01,Punjab,4.21
2026-07-01,Rajasthan,4.82
2026-07-01,Sikkim,4.59
2026-07-01,Tamil Nadu,5.44
2026-07-01,Telangana,6.32
2026-07-01,The Dadra And Nagar Haveli And Daman And Diu,4.03
2026-07-01,Tripura,2.32
2026-07-01,Uttar Pradesh,4.74
2026-07-01,Uttarakhand,4.21
2026-07-01,West Bengal,3.89
